date,status,site_name,number_participants
2017-10-08,Target,Site 2,5.4
2017-10-09,Target,Site 2,5.4739726027
2017-10-10,Target,Site 2,5.5479452055
2017-10-11,Target,Site 2,5.6219178082
2017-10-12,Target,Site 2,5.695890411
2017-10-13,Target,Site 2,5.7698630137
2017-10-14,Target,Site 2,5.8438356164
2017-10-15,Target,Site 2,5.9178082192
2017-10-16,Target,Site 2,5.9917808219
2017-10-17,Target,Site 2,6.0657534247
2017-10-18,Target,Site 2,6.1397260274
2017-10-19,Target,Site 2,6.2136986301
2017-10-20,Target,Site 2,6.2876712329
2017-10-21,Target,Site 2,6.3616438356
2017-10-22,Target,Site 2,6.4356164384
2017-10-23,Target,Site 2,6.5095890411
2017-10-24,Target,Site 2,6.5835616438
2017-10-25,Target,Site 2,6.6575342466
2017-10-26,Target,Site 2,6.7315068493
2017-10-27,Target,Site 2,6.8054794521
2017-10-28,Target,Site 2,6.8794520548
2017-10-29,Target,Site 2,6.9534246575
2017-10-30,Target,Site 2,7.0273972603
2017-10-31,Target,Site 2,7.101369863
2017-11-01,Target,Site 2,7.1753424658
2017-11-02,Target,Site 2,7.2493150685
2017-11-03,Target,Site 2,7.3232876712
2017-11-04,Target,Site 2,7.397260274
2017-11-05,Target,Site 2,7.4712328767
2017-11-06,Target,Site 2,7.5452054795
2017-11-07,Target,Site 2,7.6191780822
2017-11-08,Target,Site 2,7.6931506849
2017-11-09,Target,Site 2,7.7671232877
2017-11-10,Target,Site 2,7.8410958904
2017-11-11,Target,Site 2,7.9150684932
2017-11-12,Target,Site 2,7.9890410959
2017-11-13,Target,Site 2,8.0630136986
2017-11-14,Target,Site 2,8.1369863014
2017-11-15,Target,Site 2,8.2109589041
2017-11-16,Target,Site 2,8.2849315068
2017-11-17,Target,Site 2,8.3589041096
2017-11-18,Target,Site 2,8.4328767123
2017-11-19,Target,Site 2,8.5068493151
2017-11-20,Target,Site 2,8.5808219178
2017-11-21,Target,Site 2,8.6547945205
2017-11-22,Target,Site 2,8.7287671233
2017-11-23,Target,Site 2,8.802739726
2017-11-24,Target,Site 2,8.8767123288
2017-11-25,Target,Site 2,8.9506849315
2017-11-26,Target,Site 2,9.0246575342
2017-11-27,Target,Site 2,9.098630137
2017-11-28,Target,Site 2,9.1726027397
2017-11-29,Target,Site 2,9.2465753425
2017-11-30,Target,Site 2,9.3205479452
2017-12-01,Target,Site 2,9.3945205479
2017-12-02,Target,Site 2,9.4684931507
2017-12-03,Target,Site 2,9.5424657534
2017-12-04,Target,Site 2,9.6164383562
2017-12-05,Target,Site 2,9.6904109589
2017-12-06,Target,Site 2,9.7643835616
2017-12-07,Target,Site 2,9.8383561644
2017-12-08,Target,Site 2,9.9123287671
2017-12-09,Target,Site 2,9.9863013699
2017-12-10,Target,Site 2,10.060273973
2017-12-11,Target,Site 2,10.134246575
2017-12-12,Target,Site 2,10.208219178
2017-12-13,Target,Site 2,10.282191781
2017-12-14,Target,Site 2,10.356164384
2017-12-15,Target,Site 2,10.430136986
2017-12-16,Target,Site 2,10.504109589
2017-12-17,Target,Site 2,10.578082192
2017-12-18,Target,Site 2,10.652054795
2017-12-19,Target,Site 2,10.726027397
2017-12-20,Target,Site 2,10.8
2017-12-21,Target,Site 2,10.873972603
2017-12-22,Target,Site 2,10.947945205
2017-12-23,Target,Site 2,11.021917808
2017-12-24,Target,Site 2,11.095890411
2017-12-25,Target,Site 2,11.169863014
2017-12-26,Target,Site 2,11.243835616
2017-12-27,Target,Site 2,11.317808219
2017-12-28,Target,Site 2,11.391780822
2017-12-29,Target,Site 2,11.465753425
2017-12-30,Target,Site 2,11.539726027
2017-12-31,Target,Site 2,11.61369863
2018-01-01,Target,Site 2,11.687671233
2018-01-02,Target,Site 2,11.761643836
2018-01-03,Target,Site 2,11.835616438
2018-01-04,Target,Site 2,11.909589041
2018-01-05,Target,Site 2,11.983561644
2018-01-06,Target,Site 2,12.057534247
2018-01-07,Target,Site 2,12.131506849
2018-01-08,Target,Site 2,12.205479452
2018-01-09,Target,Site 2,12.279452055
2018-01-10,Target,Site 2,12.353424658
2018-01-11,Target,Site 2,12.42739726
2018-01-12,Target,Site 2,12.501369863
2018-01-13,Target,Site 2,12.575342466
2018-01-14,Target,Site 2,12.649315068
2018-01-15,Target,Site 2,12.723287671
2018-01-16,Target,Site 2,12.797260274
2018-01-17,Target,Site 2,12.871232877
2018-01-18,Target,Site 2,12.945205479
2018-01-19,Target,Site 2,13.019178082
2018-01-20,Target,Site 2,13.093150685
2018-01-21,Target,Site 2,13.167123288
2018-01-22,Target,Site 2,13.24109589
2018-01-23,Target,Site 2,13.315068493
2018-01-24,Target,Site 2,13.389041096
2018-01-25,Target,Site 2,13.463013699
2018-01-26,Target,Site 2,13.536986301
2018-01-27,Target,Site 2,13.610958904
2018-01-28,Target,Site 2,13.684931507
2018-01-29,Target,Site 2,13.75890411
2018-01-30,Target,Site 2,13.832876712
2018-01-31,Target,Site 2,13.906849315
2018-02-01,Target,Site 2,13.980821918
2018-02-02,Target,Site 2,14.054794521
2018-02-03,Target,Site 2,14.128767123
2018-02-04,Target,Site 2,14.202739726
2018-02-05,Target,Site 2,14.276712329
2018-02-06,Target,Site 2,14.350684932
2018-02-07,Target,Site 2,14.424657534
2018-02-08,Target,Site 2,14.498630137
2018-02-09,Target,Site 2,14.57260274
2018-02-10,Target,Site 2,14.646575342
2018-02-11,Target,Site 2,14.720547945
2018-02-12,Target,Site 2,14.794520548
2018-02-13,Target,Site 2,14.868493151
